Иностранное ПО,Российский аналог,Описание,Категория,Ссылка для скачивания
DHL SmartTrack,Wialon,"Платформа для мониторинга транспорта и управления автопарком, контроля расхода топлива и отслеживания местоположения.",Транспорт и телематика,https://gurtam.com/
Dialogflow,GigaChat NLP,Специализация GigaChat на технологиях обработки естественного языка (Natural Language Processing).,Искусственный интеллект (AI),https://cloud.gigachat.ru/
Dialogflow,Сбер Salute SDK,"Набор инструментов для разработчиков, связанный с голосовым ассистентом Салют.",Средства разработки,https://sberdevices.ru/
Discord,Mattermost,"Платформа для безопасных корпоративных коммуникаций с обменом сообщениями и файлами, альтернатива Slack.",Коммуникации и коллаборация,https://mattermost.com/
Discord,TrueConf Chat,Модуль обмена мгновенными сообщениями и файлами в рамках экосистемы TrueConf.,Коммуникации и коллаборация,https://trueconf.ru/
Disney+,Ivi,"Крупнейший российский онлайн-кинотеатр с подпиской и библиотекой фильмов, сериалов и мультфильмов.","Другое (офисные пакеты, утилиты и пр.)",https://www.ivi.ru/
Disney+,Okko,"Онлайн-кинотеатр с подпиской, предлагающий фильмы, сериалы и эксклюзивный контент.","Другое (офисные пакеты, утилиты и пр.)",https://okko.tv/
Docker,ROSA Container,Платформа для управления контейнерами (на основе Docker) в российской ОС ROSA Linux.,Облачные платформы и инфраструктура,https://rosalab.ru/
Docker,Virtuozzo,"Платформа для виртуализации и управления контейнерами (OpenVZ, KVM) и инфраструктурой.",Виртуализация,https://virtuozzo.com/
DocuSign,Диадок,Система электронного документооборота для юридически значимого обмена счетами-фактурами и другими документами.,"Другое (офисные пакеты, утилиты и пр.)",https://diadoc.ru/
DocuSign,Контур.КЭДО,Система кадрового электронного документооборота для оформления и учета трудовых отношений.,"Другое (офисные пакеты, утилиты и пр.)",https://kontur.ru/
Dropbox,Облако Mail.ru,Облачное хранилище данных и файловый хостинг от Mail.ru Group (ныне VK).,Облачные платформы и инфраструктура,https://mail.ru/
Dropbox,Р7-Облако,Облачная платформа от компании Р7 для размещения ИТ-инфраструктуры и приложений.,Облачные платформы и инфраструктура,https://r7-office.ru/
Dropbox,Яндекс.Диск,Облачное хранилище файлов с возможностью синхронизации и общего доступа.,"Другое (офисные пакеты, утилиты и пр.)",https://yandex.ru/
Duck Creek,1С:Полис,Программное решение для автоматизации работы с медицинскими полисами.,Страхование,https://1c.ru/
Duck Creek,Галактика Страхование,Отраслевое решение для автоматизации деятельности страховых компаний.,Страхование,https://galaktika.ru/
EdX,GeekBrains,"Образовательная онлайн-платформа, предлагающая курсы по программированию, дизайну, маркетингу и другим IT-специальностям.",Образование и LMS,https://gb.ru/
EdX,Skillbox,"Онлайн-университет, предлагающий курсы и образовательные программы по различным IT- и digital-профессиям.",Образование и LMS,https://skillbox.ru/
Elasticsearch,SOVA Search,Российская голосовая ассистентка и платформа для распознавания и синтеза речи.,Искусственный интеллект (AI),-
Elasticsearch,Tarantool Search,Модуль полнотекстового поиска на базе платформы Tarantool.,Базы данных,https://tarantool.io/
EndNote,eLIBRARY Citation,Сервис для анализа цитируемости научных публикаций и авторов на основе данных из eLIBRARY.,Научные исследования и данные,https://elibrary.ru/
EndNote,РИНЦ Reference,Сервис для работы с библиографическими ссылками и списками литературы на основе данных РИНЦ.,Научные исследования и данные,https://elibrary.ru/
EnergyCAP,АСКУЭ Энергосфера,"Автоматизированная система коммерческого учета электроэнергии для сбора, обработки и анализа данных с приборов учета.",Управление бизнесом,-
EnergyCAP,Энергософт,"Программное обеспечение для проектирования, расчета и анализа систем электроснабжения.",Управление бизнесом,-
Epic Beaker,1С:Лаборатория,Программное решение для автоматизации технологических процессов и учёта в государственных и частных медицинских лабораториях.,Здравоохранение и медицина,https://1c.ru/
Epic Beaker,ЛИС «Галактика»,"Логистическая информационная система для управления цепями поставок в рамках экосистемы ""Галактика"".",Здравоохранение и медицина,https://galaktika.ru/
Epic Games Store,GameNet,"Российская экосистема и платформа для геймеров, включающая лаунчер, магазин игр и социальные функции.","Другое (офисные пакеты, утилиты и пр.)",-
Epic Games Store,VK Play Market,Магазин приложений и игр для Android-устройств от VK.,"Другое (офисные пакеты, утилиты и пр.)",https://vkplay.ru/
Epic Systems,1С:Медицина,"Семейство программных продуктов на базе 1С, предназначенных для автоматизации процессов в медицинских учреждениях. Включает решения для поликлиник, больниц, стоматологических клиник, лабораторий и других учреждений.",Здравоохранение и медицина,https://1c.ru/
Epic Systems,Комплекс МИС,Комплексная медицинская информационная система для автоматизации клиник и больниц.,Здравоохранение и медицина,-
EPLAN Electric P8,nanoCAD Электро,"Приложение для проектирования схем электроснабжения, силового и осветительного оборудования.",CAD/CAM/CAE/PLM,https://nanocad.ru/
EPLAN Electric P8,SCADA Trace Mode,"Интегрированная среда для проектирования и расчета конструкций, включающая пре- и пострепроцессор.",Управление бизнесом,https://tracenode.com/
ESET NOD32,Dr.Web,Антивирусное программное обеспечение для защиты рабочих станций и серверов от вредоносных программ.,Безопасность,https://drweb.ru/
ESET NOD32,Kaspersky,"Общее обозначение продуктов ""Лаборатории Касперского"" - одного из крупнейших в мире разработчиков систем защиты от киберугроз.",Безопасность,https://www.kaspersky.ru/
Esri ArcGIS,NextGIS,Платформа для разработки и использования геоинформационных систем (ГИС) и веб-карт.,Геоинформационные системы (ГИС),https://nextgis.com/
Esri ArcGIS,Панорама GIS,"Отечественная геоинформационная система для работы с картами, космическими снимками и геоданными.",Геоинформационные системы (ГИС),https://gispana.ru/
ESRI ArcGIS Online,NextGIS Cloud,"Облачный сервис для хостинга геоданных, создания и публикации веб-карт.",Геоинформационные системы (ГИС),https://nextgis.com/
ESRI ArcGIS Online,Панорама GIS,"Отечественная геоинформационная система для работы с картами, космическими снимками и геоданными.",Геоинформационные системы (ГИС),https://gispana.ru/
ESRI CityEngine,Credo Civil,Программный комплекс для проектирования и изысканий в области промышленного и гражданского строительства.,CAD/CAM/CAE/PLM,https://credo-dialogue.com/
ESRI CityEngine,Renga Urban,Инструмент для градостроительного планирования и проектирования городской среды.,CAD/CAM/CAE/PLM,https://rengabim.com/
Evernote,MyOffice Notes,"Приложение для создания и управления текстовыми заметками, синхронизируемыми между устройствами.","Другое (офисные пакеты, утилиты и пр.)",https://myoffice.ru/
Evernote,Notes,Общее название для приложений создания заметок (может относиться к MyOffice Notes или другим решениям).,"Другое (офисные пакеты, утилиты и пр.)",-
EViews,Deductor Forecast,Модуль платформы Deductor для построения прогнозных моделей и анализа временных рядов.,Аналитика и BI,-
EViews,RuData Stats,Решение для управления рисками и построения скоринговых моделей.,Аналитика и BI,-
Facebook Ads Manager,myTarget,Платформа для таргетированной рекламы в интернете и мобильных приложениях от Mail.ru Group (сейчас VK).,Маркетинг и SMM,https://target.my.com/
Facebook Ads Manager,VK Реклама,Платформа для размещения и управления рекламой в социальной сети VK и других сервисах экосистемы.,Маркетинг и SMM,https://vk.com/
FactSet,RuData Finance,Модуль для автоматизации бизнес-процессов на основе данных в RuData.,Аналитика и BI,-
FactSet,Интерфакс Финансы,"Сервис финансовой информации, котировок и аналитики для профессиональных участников рынка.",Аналитика и BI,https://interfax.ru/
Figma,Akira,"Программное обеспечение для управления проектами и задачами, часто с фокусом на визуальную организацию (например, канбан-доски).",Средства разработки,-
Figma,Penpot (рос. сборка),Российская версия или сборка дизайн-инструмента с открытым исходным кодом для создания интерфейсов и прототипов.,Мультимедиа и графика,https://penpot.app/
Figma,Re-Draw,"Сервис или инструмент для автоматического векторизации растровых изображений (например, логотипов).",Мультимедиа и графика,-
Finacle,Diasoft FA#,"Платформа для автоматизации деятельности финансовых организаций, включая банки и страховые компании.",Управление бизнесом,https://diasoft.com/
Finacle,ЦФТ-Банк,Автоматизированная банковская система (АБС) для комплексной автоматизации деятельности кредитных организаций.,Управление бизнесом,https://cft.ru/
FIS Profile,Diasoft,"Компания-разработчик, предлагающая решения для финансового сектора (см. конкретные продукты ниже).",Управление бизнесом,https://diasoft.com/
FIS Profile,ЦФТ-Банк,Автоматизированная банковская система (АБС) для комплексной автоматизации деятельности кредитных организаций.,Управление бизнесом,https://cft.ru/
Fiserv DNA,RS-Bank,Автоматизированная банковская система (АБС) для комплексной автоматизации деятельности кредитных организаций.,Управление бизнесом,-
Fiserv DNA,Бисквит,"Сервис для управления проектами и задачами, возможно, с фокусом на креативные индустрии.","Другое (офисные пакеты, утилиты и пр.)",-
FL Studio,LMMS (рус. сборка),Российская версия или сборка бесплатной цифровой аудио рабочей станции (DAW) с открытым исходным кодом.,Мультимедиа и графика,https://lmms.io/
FL Studio,SunVox,"Кроссплатформенный музыкальный секвенсор и трекер для создания музыки, с поддержкой модульных синтезаторов.",Мультимедиа и графика,https://warmplace.ru/
GE Centricity,МедАрхив,Система для электронного архивирования и управления медицинскими документами и картами пациентов.,Здравоохранение и медицина,-
GE Centricity,МИС Медиалог,Медицинская информационная система для автоматизации работы клиник и лабораторий.,Здравоохранение и медицина,-
GE Predix,Ростелеком IIoT,Платформа промышленного интернета вещей (Industrial IoT) для мониторинга и управления производственными активами.,Облачные платформы и инфраструктура,https://rt.ru/
GE Predix,Сбер IoT Analytics,Сервис аналитики для данных интернета вещей (IoT) от Сбера.,Аналитика и BI,https://sbercloud.ru/
Genesys Cloud,Naumen Contact Center,"Платформа для построения корпоративного контакт-центра, управляющая всеми каналами связи с клиентами.",Коммуникации и коллаборация,https://www.naumen.ru/
Genesys Cloud,Ростелеком Call,Сервис облачной телефонии и виртуальной АТС от Ростелекома.,Коммуникации и коллаборация,https://rt.ru/
Getty Images,PhotoXPress,Онлайн-сервис или программа для базового редактирования и оформления фотографий.,Мультимедиа и графика,-
Getty Images,Лори,Система для автоматизации туристического бизнеса: туроператоров и турагентств.,"Другое (офисные пакеты, утилиты и пр.)",-
GitHub,Gitea Russia,Российский хостинг или инстанс легковесного сервиса для хостинга Git-репозиториев Gitea.,Средства разработки,https://gitea.io/
GitHub,GitFlic,"Российская платформа для хостинга IT-проектов, основанная на системе управления версиями Git.",Средства разработки,https://gitflic.ru/
GitHub,VK Code,Инструменты и платформа для разработки и совместной работы над кодом от VK.,Средства разработки,https://vk.com/
GitHub,МосХаб,"Возможно, платформа или сервис, связанный с городской средой Москвы (точное значение требует уточнения).","Другое (офисные пакеты, утилиты и пр.)",-
GitHub Actions,GitFlic Actions,Инструмент для автоматизации рабочих процессов (CI/CD) непосредственно на платформе GitFlic.,Средства разработки,https://gitflic.ru/
GitHub Actions,VK DevOps,Набор практик и инструментов для реализации методологии DevOps в проектах VK.,Средства разработки,https://vk.com/
GitHub Copilot,GigaCode,"Генеративная модель ИИ от Сбера, предназначенная для помощи в написании, отладке и комментировании программного кода.",Средства разработки,-
GitHub Copilot,Сбер Код,Платформа для совместной разработки и управления кодом от Сбера.,Средства разработки,https://sberbank.ru/
GitHub Enterprise,GitFlic,"Российская платформа для хостинга IT-проектов, основанная на системе управления версиями Git.",Средства разработки,https://gitflic.ru/
GitHub Enterprise,VK Code,Инструменты и платформа для разработки и совместной работы над кодом от VK.,Средства разработки,https://vk.com/
GitLab,GitFlic CI,Сервис непрерывной интеграции (Continuous Integration) в составе платформы GitFlic для автоматической сборки и тестирования кода.,Средства разработки,https://gitflic.ru/
GitLab,Сбер.DevOps,Платформа и практики для реализации методологии DevOps в проектах Сбера.,Средства разработки,https://sbercloud.ru/
GitLab (SaaS),GitFlic,"Российская платформа для хостинга IT-проектов, основанная на системе управления версиями Git.",Средства разработки,https://gitflic.ru/
GitLab (SaaS),Сбер.DevOps,Платформа и практики для реализации методологии DevOps в проектах Сбера.,Средства разработки,https://sbercloud.ru/
Google Ads,Яндекс.Директ,Система контекстной рекламы для размещения объявлений в поиске Яндекса и на сайтах-партнерах.,Маркетинг и SMM,https://yandex.ru/
Google Analytics,Яндекс.Метрика,Сервис веб-аналитики для отслеживания посещаемости сайтов и поведения пользователей.,Аналитика и BI,https://yandex.ru/
Google Analytics 4,RuAnalytica,"Платформа для анализа данных и бизнес-аналитики, ориентированная на российский рынок.",Аналитика и BI,-
Google Analytics 4,Яндекс.Метрика,Сервис веб-аналитики для отслеживания посещаемости сайтов и поведения пользователей.,Аналитика и BI,https://yandex.ru/
Google Chrome,Atom,"Текстовый редактор с открытым исходным кодом, разработанный GitHub, известный своей гибкостью и поддержкой плагинов.",Средства разработки,https://github.com/atom/atom
Google Chrome,Яндекс.Браузер,Веб-браузер от Яндекса с интегрированными сервисами и технологиями защиты.,"Другое (офисные пакеты, утилиты и пр.)",https://yandex.ru/
Google Classroom,Российская Электронная Школа,"Государственная образовательная платформа, предоставляющая интерактивные уроки и учебные материалы для школьников.",Образование и LMS,https://resh.edu.ru/
Google Classroom,Яндекс Учебник,Образовательная платформа с интерактивными заданиями для школьников и инструментами для учителей.,Образование и LMS,https://yandex.ru/
Google Cloud AI,Sber AI Cloud,Российская версия профессиональной цифровой аудио рабочей станции (DAW) для записи и сведения музыки.,Облачные платформы и инфраструктура,https://sbercloud.ru/
Google Cloud AI,Yandex DataSphere,"Облачная среда для анализа данных и машинного обучения, основанная на Jupyter Notebook.",Облачные платформы и инфраструктура,https://yandex.ru/
Google Cloud Vision,VisionLab,Библиотеки компьютерного зрения и технологии распознавания образов.,Искусственный интеллект (AI),https://visionlabs.ai/
Google Cloud Vision,Сбер Vision API,Программный интерфейс для доступа к сервисам компьютерного зрения Сбера.,Искусственный интеллект (AI),https://sberdevices.ru/
Google Drive,Облако Mail.ru,Облачное хранилище данных и файловый хостинг от Mail.ru Group (ныне VK).,Облачные платформы и инфраструктура,https://mail.ru/
Google Drive,Яндекс.Диск,Облачное хранилище файлов с возможностью синхронизации и общего доступа.,"Другое (офисные пакеты, утилиты и пр.)",https://yandex.ru/
Google Earth Pro,2ГИС Гео,"Геоинформационная платформа для работы с пространственными данными, создания отраслевых решений и анализа территорий.",Геоинформационные системы (ГИС),https://2gis.ru/
Google Earth Pro,NextGIS Viewer,Легковесное десктопное приложение для просмотра и анализа геоданных в различных форматах.,Геоинформационные системы (ГИС),https://nextgis.com/
Google Forms,СберФормы,"Сервис для создания и проведения онлайн-опросов, сбора заявок и анкетирования.","Другое (офисные пакеты, утилиты и пр.)",https://sberbank.ru/
Google Forms,Яндекс Формы,"Сервис для создания онлайн-форм, опросов и тестов.","Другое (офисные пакеты, утилиты и пр.)",https://yandex.ru/
Google Maps API,2ГИС API,"Набор инструментов для разработчиков, позволяющий встраивать картографические данные и функционал 2ГИС в сторонние приложения и сайты.",Геоинформационные системы (ГИС),https://2gis.ru/
Google Maps API,Яндекс.Карты API,Программный интерфейс для встраивания картографических данных и функционала Яндекса в сторонние приложения и сайты.,Геоинформационные системы (ГИС),https://yandex.ru/
Google Meet,TrueConf Online,Облачный сервис для проведения видеоконференций без необходимости развертывания собственного сервера.,Коммуникации и коллаборация,https://trueconf.ru/
Google Meet,Webinar.ru,"Российская платформа для проведения вебинаров, онлайн-конференций и видеотрансляций.",Образование и LMS,https://webinar.ru/
Google Workspace,МойОфис,"Российский офисный пакет, включающий редакторы текстов, таблиц и презентаций.","Другое (офисные пакеты, утилиты и пр.)",https://myoffice.ru/
Google Workspace,Яндекс 360 для бизнеса,"Пакет облачных сервисов для бизнеса: почта, диск, видеосвязь, офисные редакторы.","Другое (офисные пакеты, утилиты и пр.)",https://yandex.ru/
Grafana,Visiology Dashboard,Инструмент для создания и настройки информационных панелей (дашбордов) с ключевыми показателями.,Аналитика и BI,https://visiology.ru/
Guidewire,1С:Страхование,Программное решение для автоматизации бизнес-процессов страховых компаний.,Страхование,https://1c.ru/
Guidewire,Diasoft Insurance,Комплексное решение для автоматизации всех бизнес-процессов страховых компаний.,Страхование,https://diasoft.com/
Hadoop,RuHadoop,Российская дистрибуция или сборка фреймворка для распределенной обработки больших данных Apache Hadoop.,Аналитика и BI,-
Hadoop,Yadro DataLake,Решение для построения и управления дата-озером (Data Lake) для хранения и обработки неструктурированных данных.,Аналитика и BI,https://yadro.com/
HashiCorp Vault,VipNet SafeStorage,Решение для безопасного хранения и шифрования данных на дисках и в сетевых хранилищах.,Безопасность,https://infotecs.ru/
HashiCorp Vault,КриптоПро KeyManager,Система управления ключевой информацией для работы с электронной подписью и средствами шифрования.,Безопасность,https://cryptopro.ru/
HERE Fleet Telematics,RuTelematics,"Программа для удаленного доступа к рабочему столу с открытым исходным кодом, альтернатива TeamViewer.",Транспорт и телематика,-
HERE Fleet Telematics,Wialon Pro,Расширенная версия платформы Wialon с дополнительными функциями и аналитикой.,Транспорт и телематика,https://gurtam.com/
Here Maps,NextGIS API,Программные интерфейсы (API) для разработки собственных ГИС-приложений и интеграции с данными NextGIS.,Геоинформационные системы (ГИС),https://nextgis.com/
Honeywell Experion,Trace Mode SCADA,Основной модуль SCADA-системы Trace Mode для визуализации и управления в реальном времени.,Управление бизнесом,https://tracenode.com/
Honeywell Experion,Квинт,"Система для автоматизации аптек и фармацевтических предприятий, управления товарооборотом и соблюдения регламентов.",Управление бизнесом,-
Hootsuite,Amplifr,"Сервис для анализа и управления присутствием в социальных сетях, включая планирование публикаций и аналитику.",Маркетинг и SMM,https://amplifr.com/
Hootsuite,SMMplanner,Платформа для построения программно-определяемых центров обработки данных (SDDC) и систем хранения данных.,Маркетинг и SMM,https://smmplanner.com/
HubSpot,Bitrix24 CRM,"Модуль управления взаимоотношениями с клиентами в рамках Bitrix24 для отслеживания сделок, лидов и взаимодействий.",CRM,https://www.bitrix24.ru/
HubSpot,RetailCRM,"CRM-система, специализированная на автоматизации розничной торговли (онлайн и офлайн).",CRM,https://retailcrm.ru/
HubSpot CRM,Bitrix24,"Многофункциональная платформа для управления бизнес-процессами, включающая CRM, задачи, коммуникации и инструменты продуктивности.",Управление бизнесом,https://www.bitrix24.ru/
HubSpot CRM,RetailCRM,"CRM-система, специализированная на автоматизации розничной торговли (онлайн и офлайн).",CRM,https://retailcrm.ru/
Hugging Face,GigaChat NLP,Специализация GigaChat на технологиях обработки естественного языка (Natural Language Processing).,Искусственный интеллект (AI),https://cloud.gigachat.ru/
Hugging Face,SberNLP,Расширенный пакет облачных услуг с повышенной производительностью и дополнительными сервисами.,Искусственный интеллект (AI),https://sberdevices.ru/
Hugging Face Transformers,GigaChat NLP,Специализация GigaChat на технологиях обработки естественного языка (Natural Language Processing).,Искусственный интеллект (AI),https://cloud.gigachat.ru/
Hugging Face Transformers,SberNLP,Библиотеки и сервисы для обработки естественного языка (NLP) от Сбера.,Искусственный интеллект (AI),https://sberdevices.ru/
IBM Cognos Analytics,Polymatica,"Платформа для комплексной аналитики больших данных, прогнозного моделирования и бизнес-аналитики.",Аналитика и BI,https://polymatica.com/
IBM Cognos Analytics,Visiology Analytics,Модуль аналитики и построения отчетов в платформе Visiology.,Аналитика и BI,https://visiology.ru/
IBM Guardium,InfoWatch DB Security,Решение для защиты баз данных от утечек и несанкционированного доступа.,Безопасность,https://www.infowatch.com/
IBM Guardium,Security Vision DB,"Комплексная платформа для мониторинга и управления информационной безопасностью организации (SIEM, SOAR).",Безопасность,https://securityvision.ru/
IBM QRadar,RuSIEM,Сервис предоставления данных для анализа рынков и конкурентов.,Безопасность,-
IBM QRadar,Solar Dozor SIEM,"Межсетевой экран нового поколения (NGFW) от компании ""Ростелеком-Солар"".",Безопасность,https://rt-solar.ru/
IBM SPSS Modeler,Deductor Studio,"Комплексное решение для аналитиков данных, объединяющее средства ETL, визуализации и моделирования.",Аналитика и BI,-
IBM SPSS Modeler,Polymatica ML,Модуль машинного обучения платформы Polymatica для построения и внедрения прогнозных моделей.,Аналитика и BI,https://polymatica.com/
IBM Watson,GigaChat AI,Обозначение возможностей генеративного искусственного интеллекта в рамках платформы GigaChat.,Искусственный интеллект (AI),https://cloud.gigachat.ru/
IBM Watson,Сбер AI Cloud,Облачная платформа от Сбера для работы с искусственным интеллектом и машинным обучением.,Облачные платформы и инфраструктура,https://sbercloud.ru/
Instagram,TenChat,Платформа для корпоративных коммуникаций и социальной сети для сотрудников внутри компании.,Коммуникации и коллаборация,https://tenchat.ru/
Instagram,VK,Крупнейшая российская социальная сеть и экосистема приложений (ранее Mail.ru Group).,"Другое (офисные пакеты, утилиты и пр.)",https://vk.com/
IntelliJ IDEA,CodeLobster,"Легковесная IDE для веб-разработки с поддержкой PHP, HTML, CSS, JavaScript и встроенным отладчиком.",Средства разработки,https://codelobster.com/
IntelliJ IDEA,Кедр IDE,"Российская среда разработки (IDE) для языков программирования, возможно, с фокусом на образовательные цели.",Средства разработки,-
Intergraph SmartPlant,nanoCAD Электро,"Приложение для проектирования схем электроснабжения, силового и осветительного оборудования.",CAD/CAM/CAE/PLM,https://nanocad.ru/
Intergraph SmartPlant,Компас-Электрик,Специализированное приложение для проектирования электрических схем и документации.,CAD/CAM/CAE/PLM,https://ascon.ru/
Jenkins,GitFlic CI,Сервис непрерывной интеграции (Continuous Integration) в составе платформы GitFlic для автоматической сборки и тестирования кода.,Средства разработки,https://gitflic.ru/
Jenkins,Сбер.DevOps,Платформа и практики для реализации методологии DevOps в проектах Сбера.,Средства разработки,https://sbercloud.ru/
Jenkins X,GitFlic CI/CD,Комплексный инструмент для настройки процессов непрерывной интеграции и доставки (CI/CD) на платформе GitFlic.,Средства разработки,https://gitflic.ru/
Jenkins X,Сбер DevOps,Платформа и практики для реализации методологии DevOps в проектах Сбера.,Средства разработки,https://sbercloud.ru/
Jira,Redmine (рос. сборка),Российская версия или сборка популярной системы управления проектами и отслеживания ошибок с открытым исходным кодом.,Управление проектами,https://redmine.org/
Jira,YouTrack,"Система отслеживания ошибок и управления проектами от JetBrains, гибко настраиваемая под рабочие процессы.",Управление проектами,https://jetbrains.com/youtrack/
Jira Service Desk,Naumen Service Desk,"Система регистрации и управления инцидентами, запросами пользователей и другими обращениями в ИТ-службу.",Управление бизнесом,https://www.naumen.ru/
Jira Service Desk,OKdesk,Облачная система управления услугами (Service Desk) и ИТ-активами для малого и среднего бизнеса.,Управление бизнесом,https://okdesk.ru/
Jira Service Management,Naumen Service Desk,"Система регистрации и управления инцидентами, запросами пользователей и другими обращениями в ИТ-службу.",Управление бизнесом,https://www.naumen.ru/
Jira Service Management,OKdesk,Облачная система управления услугами (Service Desk) и ИТ-активами для малого и среднего бизнеса.,Управление бизнесом,https://okdesk.ru/
Kronos Workforce,1С:Управление персоналом,"Решение для автоматизации кадрового учета, расчета заработной платы, управления талантами и взаимодействия с сотрудниками.",Управление персоналом (HR),https://1c.ru/
Kronos Workforce,HR-Link,"Система для автоматизации кадрового делопроизводства, учета персонала и управления кадровыми процессами.",Управление персоналом (HR),-
Kubernetes,ROSA Kubernetes,Система оркестрации контейнеризированных приложений Kubernetes для платформы ROSA.,Облачные платформы и инфраструктура,https://rosalab.ru/
Kubernetes,VK Cloud Kubernetes,Сервис оркестрации контейнеризированных приложений Kubernetes в VK Cloud.,Облачные платформы и инфраструктура,https://mcs.mail.ru/
LabVIEW,Квант-Инструмент,Программное обеспечение для анализа финансовых рынков и технического анализа.,CAD/CAM/CAE/PLM,-
LabVIEW,ЛОГОС,Многофункциональный программный комплекс для инженерного анализа (CAE) и многодисциплинарного моделирования.,CAD/CAM/CAE/PLM,https://logos-engineering.ru/
LastPass,Kaspersky Password Manager,Менеджер паролей для безопасного хранения и автоматического заполнения учетных данных на сайтах и в приложениях.,Безопасность,https://www.kaspersky.ru/
LastPass,Passwork,Корпоративный менеджер паролей для безопасного хранения и общего доступа к учетным данным команды.,Безопасность,https://passwork.ru/
LinkedIn,Profi.ru,"Сервис для поиска и заказа услуг специалистов (репетиторов, мастеров, врачей и т.д.).","Другое (офисные пакеты, утилиты и пр.)",https://profi.ru/
LinkedIn,TenChat,Платформа для корпоративных коммуникаций и социальной сети для сотрудников внутри компании.,Коммуникации и коллаборация,https://tenchat.ru/
LS-DYNA,Fidesys Crash,Специализированный модуль Fidesys для моделирования и анализа ударных нагрузок и краш-тестов.,CAD/CAM/CAE/PLM,https://fidesys.com/
LS-DYNA,ЛОГОС Dynamics,Модуль для анализа динамики и прочности конструкций в ЛОГОС.,CAD/CAM/CAE/PLM,https://logos-engineering.ru/
macOS,Alt Workstation,"Операционная система на базе Linux, предназначенная для безопасной работы на рабочих местах в корпоративной и государственной среде.",Операционные системы,https://www.altlinux.org/
macOS,РЕД ОС,Российский сертифицированный дистрибутив операционной системы на базе Linux для корпоративного использования.,Операционные системы,https://redos.ru/
Manhattan TMS,TransInfo,"Система для управления перевозками и логистикой, отслеживания транспорта и оптимизации маршрутов.",Транспорт и телематика,-
Manhattan TMS,Логистика Pro,"Программный комплекс для автоматизации логистики, управления складом и транспортом.",Логистика и WMS,-
MapInfo,Panorama GIS,"Отечественная геоинформационная система для работы с картами, космическими снимками и геоданными.",Геоинформационные системы (ГИС),https://gispana.ru/
MapInfo,ГИС Панорама,"Отечественная геоинформационная система для работы с картами, космическими снимками и геоданными.",Геоинформационные системы (ГИС),https://gispana.ru/
Mastercard Track,MirAccept 2.0,"Платмента для приема онлайн-платежей, предоставляющая безопасный шлюз и инструменты для интернет-магазинов.",Электронная коммерция и платежи,-
Mastercard Track,НСПК,"Национальная система платежных карт, оператор платежной системы ""Мир"".",Управление бизнесом,https://nspk.ru/
